Resource,fuel,Zone,EndCap1,EndCap2,EndCap3,EndCap4,EndCap5,EndCap6,EndCap7
202_STEAM_3,ngst,1,89000,89000,89000,89000,89000,89000,89000
CT36,ngct new,21,972075.7039,1.96E+06,1.83E+06,0,0,135719.3982,189365.8171
315_STEAM_1,ngst,23,14000,14000,14000,14000,14000,14000,14000
223_CT_4,ngct,34,64000,64000,64000,64000,64000,64000,64000
123_STEAM_2,ngst,56,182000,182000,182000,182000,182000,182000,182000
213_CT_1,ngct,39,64000,64000,64000,64000,64000,64000,64000
223_CT_6,ngct,34,64000,64000,64000,64000,64000,64000,64000
313_CC_1,ngcc,54,414000,414000,414000,414000,414000,414000,414000
CT26,ngct new,68,15.93093114,0,0,0,0,41463.16731,92160.17866
202_CT_2,ngct,1,24000,24000,24000,24000,24000,24000,24000
101_STEAM_3,ngst,58,89000,89000,89000,89000,89000,89000,89000
302_CT_1,ngct,64,24000,24000,24000,24000,24000,24000,24000
123_CT_1,ngct,56,64000,64000,64000,64000,64000,64000,64000
STEAM29,ngst new,68,4.509041999,0,0,0,0,0,0
CT35,ngct new,8,881812.9013,1.92E+06,0,0,0,0,245481.2799
113_CT_3,ngct,71,64000,64000,64000,64000,64000,64000,64000
302_CT_3,ngct,64,64000,64000,64000,64000,64000,64000,64000
NUCLEAR42,nuclear new,21,1.770221891,0,0,0,0,0,0
215_CT_4,ngct,17,64000,64000,64000,64000,64000,64000,64000
102_STEAM_3,ngst,4,89000,89000,89000,89000,89000,89000,89000
301_CT_4,ngct,11,64000,64000,64000,64000,64000,64000,64000
202_CT_1,ngct,1,24000,24000,24000,24000,24000,24000,24000
113_CT_2,ngct,71,64000,64000,64000,64000,64000,64000,64000
221_CC_1,ngcc,62,414000,414000,414000,414000,414000,414000,414000
223_CT_5,ngct,34,64000,64000,64000,64000,64000,64000,64000
315_CT_7,ngct,23,64000,64000,64000,64000,64000,64000,64000
CC33,ngcc new,21,972075.7039,0,0,0,0,0,0
215_CT_5,ngct,17,64000,64000,64000,64000,64000,64000,64000
323_CC_1,ngcc,18,414000,414000,414000,414000,414000,414000,414000
101_STEAM_4,ngst,58,89000,89000,89000,89000,89000,89000,89000
113_CT_1,ngct,71,64000,64000,64000,64000,64000,64000,64000
223_STEAM_3,ngst,34,412000,412000,412000,412000,412000,412000,412000
318_CC_1,ngcc,50,414000,414000,414000,414000,414000,414000,414000
307_CT_2,ngct,21,64000,64000,64000,64000,64000,64000,64000
213_CT_2,ngct,39,64000,64000,64000,64000,64000,64000,64000
NUCLEAR41,nuclear new,72,1.792422155,0,0,0,0,313894.7932,343673.2966
113_CT_4,ngct,71,64000,64000,64000,64000,64000,64000,64000
315_STEAM_3,ngst,23,14000,14000,14000,14000,14000,14000,14000
118_CC_1,ngcc,36,414000,414000,414000,414000,414000,414000,414000
315_CT_8,ngct,23,64000,64000,64000,64000,64000,64000,64000
302_CT_2,ngct,64,24000,24000,24000,24000,24000,24000,24000
218_CC_1,ngcc,65,414000,414000,414000,414000,414000,414000,414000
STEAM38,ngst new,68,14.60436046,0,0,0,0,0,0
CT27,ngct new,23,15.89000181,0,0,0,0,261344.3308,549262.0543
213_CC_3,ngcc,39,414000,414000,414000,414000,414000,414000,414000
115_STEAM_3,ngst,53,182000,182000,182000,182000,182000,182000,182000
323_CC_2,ngcc,18,414000,414000,414000,414000,414000,414000,414000
101_CT_1,ngct,58,24000,24000,24000,24000,24000,24000,24000
115_STEAM_2,ngst,53,14000,14000,14000,14000,14000,14000,14000
STEAM37,ngst new,33,14.14605825,0,0,0,0,0,0
101_CT_2,ngct,58,24000,24000,24000,24000,24000,24000,24000
322_CT_5,ngct,3,64000,64000,64000,64000,64000,64000,64000
CC32,ngcc new,8,881812.9013,0,2.17E+06,0,0,215887.7774,0
315_STEAM_5,ngst,23,14000,14000,14000,14000,14000,14000,14000
207_CT_2,ngct,68,64000,64000,64000,64000,64000,64000,64000
123_STEAM_3,ngst,56,412000,412000,412000,412000,412000,412000,412000
223_STEAM_1,ngst,34,182000,182000,182000,182000,182000,182000,182000
123_CT_5,ngct,56,64000,64000,64000,64000,64000,64000,64000
STEAM39,ngst new,21,14.1416071,0,0,0,0,0,0
301_CT_1,ngct,11,24000,24000,24000,24000,24000,24000,24000
223_STEAM_2,ngst,34,182000,182000,182000,182000,182000,182000,182000
202_STEAM_4,ngst,1,89000,89000,89000,89000,89000,89000,89000
116_STEAM_1,ngst,29,182000,182000,182000,182000,182000,182000,182000
315_STEAM_4,ngst,23,14000,14000,14000,14000,14000,14000,14000
115_STEAM_1,ngst,53,14000,14000,14000,14000,14000,14000,14000
315_STEAM_2,ngst,23,14000,14000,14000,14000,14000,14000,14000
121_NUCLEAR_1,nuclear,7,471000,471000,471000,471000,471000,471000,471000
102_CT_2,ngct,4,24000,24000,24000,24000,24000,24000,24000
NUCLEAR40,nuclear new,33,1.773337643,0,0,0,0,0,0
123_CT_4,ngct,56,64000,64000,64000,64000,64000,64000,64000
STEAM28,ngst new,33,4.463804917,0,0,0,0,0,0
CT25,ngct new,33,15.33283229,0,0,0,0,0,0
207_CT_1,ngct,68,64000,64000,64000,64000,64000,64000,64000
301_CT_3,ngct,11,64000,64000,64000,64000,64000,64000,64000
316_STEAM_1,ngst,32,182000,182000,182000,182000,182000,182000,182000
102_CT_1,ngct,4,24000,24000,24000,24000,24000,24000,24000
216_STEAM_1,ngst,44,182000,182000,182000,182000,182000,182000,182000
315_CT_6,ngct,23,64000,64000,64000,64000,64000,64000,64000
201_CT_2,ngct,19,24000,24000,24000,24000,24000,24000,24000
201_STEAM_3,ngst,19,89000,89000,89000,89000,89000,89000,89000
201_CT_1,ngct,19,24000,24000,24000,24000,24000,24000,24000
301_CT_2,ngct,11,24000,24000,24000,24000,24000,24000,24000
302_CT_4,ngct,64,64000,64000,64000,64000,64000,64000,64000
CT34,ngct new,33,1.48E+06,2.81E+06,2.76E+06,0,0,0,304312.5001
307_CT_1,ngct,21,64000,64000,64000,64000,64000,64000,64000
102_STEAM_4,ngst,4,89000,89000,89000,89000,89000,89000,89000
CC31,ngcc new,33,1.48E+06,0,0,0,0,281159.0433,0
107_CC_1,ngcc,13,414000,414000,414000,414000,414000,414000,414000
,,,21587692.77,21609800,21679800,14919800,14919800,17979273.83,18594895.67
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
